Evil Laugh,Evil Laugh.mp3,0,0
Crickets,Crickets.mp3,1,0
Drums,Drums.mp3,0,1
Clap,Clap.mp3,1,1
Scream,Scream.mp3,0,2
Yay,Yay.mp3,1,2
Water,Water.mp3,0,3
